yy,mm,dd,site,ph,do,bod,cod,ss,tn,tp,toc,t.coli,cd,cn,pb,cr6+,as,hg,chla,f.coli,abs,sb
1994,4,4,구의,8.2,12.9,3.2,3.7,8,2.203,0.032,,300,,,,,,,,,,
1994,4,4,보광,7.7,10.8,4.3,5.2,13.6,4.637,0.205,,5000,,,,,,,,,,
1994,4,4,암사,8.3,13.8,3.2,4.1,7,1.752,0.053,,300,,,,,,,,,,
1994,4,4,영등포,7.7,10.1,4,5.3,6.5,3.384,0.149,,30000,,,,,,,,,,
1994,4,6,안양천4,7.3,3.4,29.3,22.1,31,13.776,1.321,,9000000,,,,,,,,,,
1994,4,6,안양천5,7.4,6.6,30.2,22.4,14,13.152,1.381,,9000000,,,,,,,,,,
1994,4,7,고덕천,8.3,6.6,78,23.9,34,12.387,0.38,,5000000,,,,,,,,,,
1994,4,7,도림천,7.4,3.6,38.4,12.8,14,11.047,0.942,,900000,,,,,,,,,,
1994,4,7,목감천,7.4,1.2,79.2,48.8,61,15.373,0.286,,2400000,,,,,,,,,,
1994,4,7,양재천,8.5,14,47.2,11.9,17,10.238,0.204,,240000,,,,,,,,,,
1994,4,7,정릉천,7.3,3.8,16,12.1,14,10.381,0.172,,21000,,,,,,,,,,
1994,4,7,홍제천,8.3,17.5,47.4,24.3,37,12.254,0.235,,1300000,,,,,,,,,,
1994,4,11,가양,7.6,5.8,4.5,6.4,9,4.044,0.232,,21000,0,0,0,0,0,0,,,0,
1994,4,11,노량진,7.7,7.9,4.6,5.8,8.4,3.486,0.189,,38000,0,0,0,0,0,0,,,0,
1994,4,11,중랑천4,7.2,3.7,27.2,24.4,26,2.083,0.956,,1700000,,,,,,,,,,
1994,4,12,중랑천2,7.6,4,30.3,29.1,87.5,11.976,1.389,,5000000,,,,,,,,,,
1994,4,12,중랑천3,7.7,8.1,19.4,17.9,17.5,9.84,0.923,,3000000,,,,,,,,,,
1994,4,12,탄천5,7.3,6,37.4,30.1,64,8.572,0.576,,900000,,,,,,,,,,
1994,4,14,잠실,8.4,10.3,3.8,4.6,8,2.391,0.092,,350,,,,,,,,,,
1994,5,2,구의,7.9,9.2,0.7,2.4,5.7,1.025,0.053,,300,,,,,,,,,,
1994,5,2,보광,7.8,7.4,4.1,5.7,6.5,2.314,0.267,,900,,,,,,,,,,
1994,5,2,안양천4,7.4,2.7,13.8,24,36,7.387,1.713,,170000,,,,,,,,,,
1994,5,2,암사,7.8,9.7,1.8,2.2,4.8,1.364,0.056,,900,,,,,,,,,,
1994,5,2,영등포,7.4,5.6,2,4.9,4.5,2.91,0.196,,1300,,,,,,,,,,
1994,5,9,가양,7.3,4.9,4.1,6,6.3,5.757,0.376,,5700,0,0,0,0,0,0,,,0,
1994,5,9,노량진,7.4,7,3.5,4.7,4.8,3.34,0.225,,5000,0,0,0,0,0,0,,,0,
1994,5,12,고덕천,8,9.2,7.6,11.7,15,11.532,0.244,,50000,,,,,,,,,,
1994,5,12,도림천,7.7,3.4,36.8,31.7,74,17.43,0.821,,5000000,,,,,,,,,,
1994,5,12,목감천,7.5,3.1,22.4,20.8,21,13.485,0.534,,2100000,,,,,,,,,,
1994,5,12,양재천,8.7,12,8.2,11.7,30,11.291,0.231,,30000,,,,,,,,,,
1994,5,12,잠실,7.6,9.2,3.5,4.2,8.5,3.517,0.082,,600,,,,,,,,,,
1994,5,12,정릉천,7.1,3.8,24,17.9,18,13.143,0.189,,1700000,,,,,,,,,,
1994,5,12,홍제천,7.2,3,36.4,41.2,113,16.283,0.987,,3000000,,,,,,,,,,
1994,5,17,중랑천2,7.2,7.8,11.6,11.2,19,7.19,0.61,,160000,,,,,,,,,,
1994,5,17,중랑천3,7.5,5.9,7.5,8.6,18,7.627,0.462,,160000,,,,,,,,,,
1994,5,17,중랑천4,7.2,2.1,31.6,15.4,54,14.654,1.43,,160000,,,,,,,,,,
1994,5,17,탄천5,7.3,4,32.2,23.4,65,7.576,1.561,,900000,,,,,,,,,,
1994,5,23,안양천5,7.4,4.8,20.3,14.9,25.3,14.789,1.676,,500000,,,,,,,,,,
1994,6,2,중랑천2,7.5,4.5,12.4,11.4,11,11.098,0.99,,130000,0,0,0,0,0,0,,,0.1,
1994,6,2,중랑천3,8.5,5.6,12.9,9.7,34,9.312,0.655,,140000,0,0,0,0,0,0,,,0.6,
1994,6,2,중랑천4,7.1,3.2,19.4,14.6,27,11.947,1.397,,130000,0,0,0,0,0,0,,,0.4,
1994,6,2,탄천5,7,3.7,24.4,15.8,13,15.994,1.14,,130000,0,0,0,0,0.004,0,,,0.4,
1994,6,3,구의,7.5,5.6,2,2.8,7,1.891,0.029,,800,0,0,0,0,0,0,,,0,
1994,6,3,안양천4,7.2,3.2,10.9,19.6,27.2,13.838,1.494,,220000,0,0.03,0.06,0,0,0,,,1.5,
1994,6,3,안양천5,7.2,2.4,15.8,14.8,11,14.318,1.282,,1100000,0,0,0,0,0.005,0,,,1.4,
1994,6,3,암사,7.6,5.6,1.6,3.2,5,2.059,0.028,,2200,0,0,0,0,0,0,,,0,
1994,6,9,가양,7.3,5.4,4.1,4.9,5,4.51,0.303,,29000,0,0,0,0,0,0,,,0.1,
1994,6,9,노량진,7.3,5.5,3.6,4.2,5.3,4.065,0.202,,12000,0,0,0,0,0,0,,,0,
1994,6,13,보광,7.3,4.6,2,4.2,2,4.55,0.254,,50000,0,0,0,0,0,0,,,0,
1994,6,13,영등포,7.3,4.5,1,3.5,1,3.034,0.17,,200,0,0,0,0,0,0,,,0,
1994,6,14,고덕천,8.7,11.8,13.3,18.9,31,11.424,0.397,,1300000,0,0,0,0,0,0,,,0.3,
1994,6,14,도림천,8.8,11.4,11.9,17.8,40,17.223,0.239,,13000,0,0,0,0,0,0,,,0.1,
1994,6,14,목감천,7.8,4.9,29.4,35.8,21,13.93,0.992,,2400000,0.006,0,0,0,0,0,,,0.7,
1994,6,14,양재천,8.3,10.4,6.2,11,20,11.349,0.285,,40000,0,0,0,0,0,0,,,0.1,
1994,6,14,잠실,7.7,8.1,2.1,2.5,6,3.43,0.068,,310,0,0,0,0,0,0,,,0.5,
1994,6,14,정릉천,7.3,2,15.1,15.5,15,13.253,0.472,,1300000,0,0,0,0,0,0,,,0.4,
1994,6,14,홍제천,9.1,11.8,18,16.9,46,17.083,0.564,,24000,0,0,0,0,0,0,,,0.2,
1994,7,4,보광,7.4,5.6,3.2,6.3,7,5.63,0.265,,220000,,,,,,,,,,
1994,7,4,영등포,7.4,5.8,2.7,4.8,4,9.245,0.415,,50000,,,,,,,,,,
1994,7,5,구의,7.7,5.1,2.4,4.4,8,3.802,0.201,,50000,,,,,,,,,,
1994,7,5,안양천4,7.5,3.4,15.5,70.9,90,14.784,1.773,,5000000,,,,,,,,,,
1994,7,5,안양천5,7.5,2.5,16.1,47,64,19.008,1.803,,5000000,,,,,,,,,,
