site,Y,X,m/t
광려천1,35.263559,128.520481,지
북면,35.373225,128.643164,본
주천강,35.315559,128.732552,지
창원천,35.232659,128.644338,남해
내동천,35.237651,128.632764,남해
양덕천,35.230448,128.586998,남해
진전천,35.102502,128.427561,남해
