site,Y,X,m/t
제일(A),35.665992,129.338054,지
신답,35.629482,129.34658,지
동천,35.576896,129.351834,지
내황,35.550365,129.351726,지
명촌,35.546416,129.356403,본
회야강1,35.43537,129.190385,본
회야강2,35.462268,129.213764,본
회야강3,35.410785,129.311025,본
