site,Y,X,m/t
창릉천-1(한강I1),37.656001,126.949812,지
창릉천-2(한강I2),37.644285,126.914755,지
창릉천1,37.644775,126.914274,지
창릉천2,37.614605,126.866318,지
창릉천3,37.595965,126.832734,지
행주,37.597956,126.809878,본
파주,37.650993,126.716759,본
공릉천-1(공릉A1),37.676621,126.91258,지
공릉천1,37.670485,126.891315,지
공릉천-2(공릉A2),37.723092,126.839627,지
장진천,37.734853,126.804149,지
