site,Y,X,m/t
성주,35.881368,128.388801,본
하빈천,35.854121,128.412417,지
다사,35.847235,128.45037,본
달성,35.839433,128.461214,본
욱수천,35.838184,128.71383,지
금호강2A,35.858711,128.686909,지
금호강3,35.888738,128.641673,지
금호강4,35.905271,128.596377,지
금호강5,35.895173,128.55098,지
금호강6,35.853419,128.471937,지
화원나루,35.811778,128.474721,본
논공,35.733193,128.418498,본
현풍,35.708046,128.434508,본
차천,35.693518,128.416967,지
대암-1,35.611018,128.366982,본
