site,Y,X,m/t
굴포천1,37.524143,126.759999,지
굴포천1-1(굴포A2),37.540246,126.761477,지
굴포천2(굴포A),37.567977,126.767964,지
아라천1,37.573735,126.739847,서해
선행천,37.734792,126.520584,서해
내가천,37.729418,126.388483,서해
아라천2,37.567233,126.625823,서해
