site,Y,X,m/t
금곡,35.281249,129.009987,본
구포,35.205997,128.991084,본
낙동강하구언1,35.108546,128.953477,본
서낙동강1,35.225676,128.943121,지
서낙동강2,35.193237,128.905055,지
서낙동강3,35.162856,128.890548,지
서낙동강4,35.13672,128.894879,지
낙동강하구언2,35.121732,128.900283,지
회동댐 상류,35.278131,129.108523,본
수영강5,35.180254,129.118411,본
